name,country_parent,total,dems,repubs,year
Bayer Corp (Bayer AG),Germany/Bayer AG,"$86,000","$54,500","$31,500",2010
BBVA USA (PNC Financial Services),Spain/Banco Bilbao Vizcaya Argentaria,"$182,000","$105,500","$76,500",2010
Beam Suntory (Suntory Holdings),Japan/Suntory Holdings,"$13,000","$10,500","$2,500",2010
BMO Financial Corp (Bank of Montreal),Canada/Bank of Montreal,$0,$0,$0,2010
BMO Financial Corp (Bank of Montreal),Canada/Bank of Montreal,"$88,000","$48,000","$40,000",2010
Boehringer Ingelheim Corp,Germany/CH Boehringer Sohn,"$78,000","$41,000","$37,000",2010
Bombardier Aerospace (Bombardier Inc),Canada/Bombardier Inc,"$20,500","$11,500","$9,000",2010
BP North America,UK/BP PLC,$0,$0,$0,2010
Bridgestone Americas,Japan/Bridgestone Corp,"$15,000","$7,000","$8,000",2010
Bumble Bee Foods (FCF Co),Taiwan/FCF Co,"$6,000","$6,000",$0,2010
CalPortland Co,Japan/Taiheiyo Cement Co,"$24,000","$2,000","$22,000",2010
Carmeuse Lime,Netherlands/Carmeuse SA,$0,$0,$0,2010
Case New Holland,Netherlands/CNH Industrial,"$45,000",$0,"$45,000",2010
CEMEX Inc,Mexico/CEMEX SAB de CV,"$17,500","$8,000","$9,500",2010
CGI Technologies & Solutions,Canada/CGI Group,"$26,500","$25,500","$1,000",2010
Chubb Group of Insurance Companies,Switzerland/Chubb Ltd,"$16,500","$14,000","$2,500",2010
CIBC Bancorp,Canada/Canadian Imperial Bank of Commerce,"$2,000","$2,000",$0,2010
Cirrus Aircraft Corp,China/Aviation Industry Corp of China,$0,$0,$0,2010
Continental Automotive Systems (Continental AG),Germany/Continental AG,$0,$0,$0,2010
Covestro LLC (Covestro AG),Germany/Covestro AG,"$2,500","$4,500","-$2,000",2010
Credit Suisse Securities,Switzerland/Credit Suisse Group,$0,$0,$0,2010
CRH Americas (CRH PLC),Ireland/CRH PLC,"$288,400","$116,000","$172,400",2010
Cronos USA,Canada/Cronos Group,"$15,000","$13,000","$2,000",2010
CSL Behring,Australia/CSL Ltd,"$14,900","$17,400","-$2,500",2010
Daimler Trucks North America (Daimler AG),Germany/Daimler AG,"$2,500",$0,"$2,500",2010
Delhaize America,Belgium/Ahold Delhaize,"$3,000","$2,000","$1,000",2010
Deutsche Bank Securities,Germany/Deutsche Bank AG,$0,$0,$0,2010
Diageo North America (Diageo PLC),UK/Diageo PLC,"$4,275","$2,775","$1,500",2010
Eaton Corp (Eaton Corp),Ireland/Eaton Plc,"$22,500","$12,000","$10,500",2010
EDF Renewables (EDF Group),France/EDF Group,"$22,500","$19,000","$3,500",2010
EDP Renewables NA,Portugal/EDP - Energias de Portugal,"$18,000","$18,000",$0,2010
Eisai Inc,Japan/Eisai Co Ltd,"$13,600","$7,800","$5,800",2010
Elbit Systems of America,Israel/Elbit Systems Ltd,"$36,500","$9,500","$27,000",2010
Elekta Inc (Elekta AB),Sweden/Elekta AB,"$48,000","$28,000","$20,000",2010
Embraer Aircraft Holdings,Brazil/Embraer-Empresa Brasileira de Aeronautic,"$24,500","$8,000","$16,500",2010
EMD Serono Inc,Germany/Merck KGaA,"$51,500","$27,000","$24,500",2010
Empire District Electric (Algonquin Power & Utilities),Canada/Algonquin Power & Utilities,$0,$0,$0,2010
Empower Retirement (Power Financial Corp),Canada/Power Financial Corp,"$3,500","$1,000","$2,500",2010
Enbridge Inc,Canada/Enbridge Inc,"$34,000","$18,000","$16,000",2010
Endo Pharmaceuticals,Ireland/Endo International,$0,$0,$0,2010
ENGIE North America,France/ENGIE,"$5,000","$5,000",$0,2010
Equitable Holdings (AXA),France/AXA,"$76,500","$51,500","$25,000",2010
Ericsson Inc,Sweden/Telefonaktiebolaget LM Ericsson,"$28,500","$15,000","$13,500",2010
Essent US Holdings,UK/Essent Group,"$3,500","$2,500","$1,000",2010
Experian,UK/Experian,"$120,000","$55,000","$65,000",2010
Farmers Group (Zurich Insurance Group),Switzerland/Zurich Financial Services AG,"$93,500","$55,000","$38,500",2010
Fincantieri Marinette Marine,Italy/Fincantieri-Cantieri Navali Italiani SpA,"$14,500","$6,000","$8,500",2010
Finsbury Glover Hering (WPP Group),UK/WPP Group,"$70,000","$44,500","$25,500",2010
Florida East Coast Industries (SoftBank Corp),Japan/SoftBank Corp,"$22,000","$14,000","$8,000",2010
Florida East Coast Railway (Grupo Mexico),Mexico/Grupo Mexico,$350,$350,$0,2010
Framatome (EDF Group),France/EDF Group,"$17,500","$11,000","$6,500",2010
Fresenius Medical Care North America,Germany/Fresenius Medical Care,"$194,500","$71,500","$123,000",2010
G4S Secure Solutions,UK/G4S plc,"$2,900","$2,900",$0,2010
Garmin International (Garmin Ltd),Switzerland/Garmin Ltd,"$32,500","$13,000","$19,500",2010
GE Appliances,China/Haier Group,"-$5,000","-$5,000",$0,2010
Genentech Inc (Roche Holdings),Switzerland/Roche Holdings,"$112,500","$36,000","$76,500",2010
General Cigar Co,Sweden/Scandinavian Tobacco Group,$0,$0,$0,2010
GenesisCare USA,Australia/GenesisCare,"$10,000","$7,000","$3,000",2010
Gerdau Ameristeel Corp,Brazil/Gerdau Inc,"$5,500","$4,000","$1,500",2010
Glanbia Foods (Glanbia PLC),Ireland/Glanbia PLC,$0,$0,$0,2010
GlaxoSmithKline,UK/GlaxoSmithKline,"$88,500","$37,000","$51,500",2010
Grand Trunk Western-Illinois Central RR,Canada/Canadian National Railway,"$6,000",$0,"$6,000",2010
Greyhound Lines,UK/FirstGroup PLC,"$5,500","$4,500","$1,000",2010
Hannover Life Reassurance Co,Germany/Hannover Re,"$7,500","$5,000","$2,500",2010
Hatch LTK (Hatch Ltd),Canada/Hatch Ltd,"$5,800","$5,800",$0,2010
Headwaters Inc,Australia/Boral Ltd,"$8,000","$1,000","$7,000",2010
Heineken USA,Netherlands/L'Arche Green NV,"$14,000","$10,000","$4,000",2010
Herbalife Nutrition,UK/Herbalife Ltd,"$43,000","$23,500","$19,500",2010
Holcim US (LafargeHolcim),Switzerland/LaFargeHolcim,"$18,000","$14,500","$3,500",2010
Horizon Therapeutics,Ireland/Horizon Pharma PLC,"$66,000","$39,500","$26,500",2010
HSBC North America (HSBC Holdings),UK/HSBC Holdings,$0,$0,$0,2010
HSBC North America (HSBC Holdings),UK/HSBC Holdings,"$14,500","$7,000","$7,500",2010
IBI Group Engineering Services,Canada/IBI Group,$150,$0,$150,2010
IDEMIA Identity & Security (IDEMIA),France/IDEMIA,"$16,000",$0,"$16,000",2010
IGT Global Solutions,Italy/B&D Holding Di Marco Drago e C Sapa,"$15,400","$15,400",$0,2010
Infineon Technologies,Germany/Infineon Technologies AG,"$13,500","$9,500","$4,000",2010
Intelsat Holdings (Serafina SA),Luxembourg/Serafina SA,"$5,000","$2,500","$2,500",2010
Intergraph Corp,Sweden/Hexagon AB,"$2,900",$0,"$2,900",2010
Ipsen Biopharmaceuticals,France/Ipsen SA,$0,$0,$0,2010
ITG Brands (Imperial Brands),UK/Imperial Brands,"$5,500","$1,000","$4,500",2010
Jackson National Life Insurance (Prudential PLC),UK/Prudential PLC,"$54,000","$23,500","$30,500",2010
Jackson National Life Insurance (Prudential PLC),UK/Prudential PLC,"$56,500","$35,500","$21,000",2010
JBS USA,Brazil/JBS SA,"$2,500","$1,000","$1,500",2010
John Hancock Life Insurance,Canada/Manulife Financial,"$51,500","$34,500","$17,000",2010
Johnson Controls (Johnson Controls International),Ireland/Johnson Controls International,"$108,000","$61,000","$47,000",2010
Komatsu Mining,Japan/Komatsu Ltd,"$20,599","$9,500","$11,099",2010
Lanxess Corp (Lanxess AG),Germany/Lanxess AG,$0,$0,$0,2010
Lehigh Hanson,Germany/HeidelbergCement AG,"$5,000","$2,500","$2,500",2010
Leonardo DRS,Italy/Leonardo SpA,"$102,500","$47,500","$55,000",2010
Lincare Holdings (Linde plc),UK/Linde plc,"$9,500","$1,000","$8,500",2010
Linde plc (Linde plc),UK/Linde Plc,"$5,500","$5,500",$0,2010
Livanova USA,UK/Livanova Plc,"$2,000","$1,000","$1,000",2010
Louis Dreyfus Co,Netherlands/Louis Dreyfus Group,"$1,000",$0,"$1,000",2010
LSEG US,UK/London Stock Exchange Group,"$2,000","$2,000",$0,2010
Lundbeck Inc,Denmark/H Lundbeck A/S,"$68,400","$40,900","$27,500",2010
LyondellBasell Industries,Netherlands/LyondellBasell Industries,"$39,000","$20,500","$18,500",2010
Maersk Inc (AP Moller-Maersk),Denmark/AP Moller-Maersk,"$32,000","$19,000","$13,000",2010
Mallinckrodt Pharmaceuticals,UK/Mallinckrodt Plc,"-$1,500","$2,500","-$4,000",2010
Maxar Technologies (Maxar Technologies),Canada/Maxar Technologies,"$49,000","$28,000","$21,000",2010
MBDA Inc,UK/MBDA,$0,$0,$0,2010
Medtronic Inc,Ireland/Medtronic Plc,"$69,500","$45,500","$24,000",2010
Messer North America,Germany/Messer Group,"$2,500",$0,"$2,500",2010
Mitsubishi Power,Japan/Mitsubishi Power,$0,$0,$0,2010
Molson Coors Beverage Co (Molson Coors Brewing),Canada/Molson Coors Brewing,"$43,000","$19,500","$23,500",2010
Munich American Reassurance,Germany/Munich Re Group,"$7,500","$5,000","$2,500",2010
Nammo Inc (Nammo AS),Norway/Nammo AS,"$4,000","$1,000","$3,000",2010
National Grid USA (National Grid plc),UK/National Grid plc,"$30,000","$26,500","$3,500",2010
Nestle Purina PetCare (Nestle SA),Switzerland/Nestle SA,$0,$0,$0,2010
Nomura Holding America,Japan/Nomura Holdings,"$26,000","$9,500","$16,500",2010
NOVA Chemicals,United Arab Emirates/International Petroleum Investment Co,$0,$0,$0,2010
Novartis Corp (Novartis AG),Switzerland/Novartis AG,"$121,500","$72,000","$49,500",2010
Novo Nordisk,Denmark/Novo Nordisk A/S,"$146,000","$73,000","$73,000",2010
Novocure Inc,UK/Novocure,"$32,000","$18,500","$13,500",2010
Nutrien Ag Solutions,Canada/Nutrien Ltd,"$16,500","$10,500","$6,000",2010
Otsuka America (Otsuka Pharmaceutical),Japan/Otsuka Pharmaceutical,"$53,500","$31,500","$22,000",2010
Pernod Ricard USA,France/Pernod Ricard SA,"$5,000","$5,000",$0,2010
Pharmavite LLC (Otsuka Pharmaceutical),Japan/Otsuka Pharmaceutical,"$42,000","$23,000","$19,000",2010
Philips Electronics North America (Philips),Netherlands/Philips,"$54,750","$27,250","$27,500",2010
Prime Policy Group (WPP Group),UK/WPP Group,"$24,000","$13,000","$11,000",2010
Protective Life Corp (Dai-Ichi Life),Japan/Dai-Ichi Life,"$59,500","$26,000","$33,500",2010
Purpose Financial (Grupo Salinas),Mexico/Grupo Salinas,"$21,000","$7,500","$13,500",2010
Putnam Investments (Power Financial Corp),Canada/Power Financial Corp,"$1,000","$1,000",$0,2010
RBC Bank (Royal Bank of Canada),Canada/Royal Bank of Canada,"$53,500","$27,500","$26,000",2010
Recurrent Energy,Canada/Canadian Solar,$0,$0,$0,2010
RELX Inc,UK/RELX Group,"$38,500","$23,000","$15,500",2010
Resolute FP US,Canada/Resolute Forest Products,"$29,500","$3,000","$26,500",2010
Reynolds American (British American Tobacco),UK/British American Tobacco plc,"$106,000","$36,500","$69,500",2010
Rio Tinto America,UK/Rio Tinto Group,"$25,000","$14,500","$10,500",2010
Roche Diagnostics (Roche Holdings),Switzerland/Roche Holdings,"$16,000","$8,500","$7,500",2010
Rolls-Royce North America (Rolls-Royce PLC),UK/Rolls-Royce PLC,"$104,000","$45,000","$59,000",2010
Sabic Innovative Plastics,Saudi Arabia/SABIC,"$1,000","$1,000",$0,2010
Safelite Group,Belgium/D'Ieteren SA,"$2,500","$2,500",$0,2010
Samsung Electronics America,South Korea/Samsung Group,"$186,000","$102,000","$84,000",2010
Sanofi US (Sanofi),France/Sanofi,"$72,000","$27,500","$44,500",2010
Santander Bank (Banco Santander),Spain/Banco Santander,"$48,500","$29,500","$19,000",2010
SAP America,Germany/SAP SE,"$5,000","$3,000","$2,000",2010
Schwan's Co,South Korea/CJ CheilJedang,"$26,500","$9,500","$17,000",2010
Securitas Security Services USA,Sweden/Securitas AB,$0,$0,$0,2010
Serco Inc,UK/Serco Group,"$28,500","$21,000","$7,500",2010
Shell Oil,Netherlands/Shell plc,"$5,000",$0,"$5,000",2010
Siemens Corp (Siemens AG),Germany/Siemens AG,"$76,500","$54,000","$22,500",2010
Smith & Nephew,UK/Smith & Nephew Plc,"$41,000","$28,500","$12,500",2010
Smithfield Foods,China/WH Group,"$25,500","$16,000","$9,500",2010
Smiths Group Services Corp (Smiths Group),UK/Smiths Group PLC,"$27,000","$14,000","$13,000",2010
Smiths Group Services Corp (Smiths Group),UK/Smiths Group PLC,"$4,500","$3,500","$1,000",2010
Sodexo Inc,France/Sodexo,$0,$0,$0,2010
Solvay America,Belgium/Solvay SA,"$8,000","$4,500","$3,500",2010
Sony Music Entertainment (Sony Corp),Japan/Sony Corp,"$15,500","$8,500","$7,000",2010
Sony Pictures Entertainment (Sony Corp),Japan/Sony Corp,"$18,000","$15,000","$3,000",2010
Spark Therapeutics (Roche Holdings),Switzerland/Roche Holdings,"$1,500","$1,500",$0,2010
SSAB Americas,Sweden/SSAB AB,"$10,500","$4,000","$6,500",2010
Standard Insurance Co,Japan/Meiji Yasuda Life Insurance,$0,$0,$0,2010
Steris Corp,UK/Steris PLC,"$17,000","$3,500","$13,500",2010
SUEZ Water,France/SUEZ Environnement,"$6,500","$6,500",$0,2010
Sun Life Financial (Sun Life Financial),Canada/Sun Life Financial,"$72,500","$37,000","$35,500",2010
Sunovion Pharmaceuticals (Sumitomo Chemical),Japan/Sumitomo Chemical,"$50,700","$27,800","$22,900",2010
Sunpower Corp,France/TotalEnergies,"$23,500","$23,500",$0,2010
Swedish Match North America (Swedish Match AB),Sweden/Swedish Match AB,"$2,500",$0,"$2,500",2010
Swiss Re America,Switzerland/Swiss Reinsurance,$0,$0,$0,2010
Syngenta Corp,China/ChemChina,"$37,500","$13,000","$24,500",2010
Tabacalera USA (Imperial Brands),UK/Imperial Brands,"$1,000","$1,000",$0,2010
Takeda Pharmaceuticals USA (Takeda Pharmaceutical Co),Japan/Takeda Pharmaceutical Co,"$103,500","$58,500","$45,000",2010
Tate & Lyle Americas (Tate & Lyle),UK/Tate & Lyle,"$3,500",$0,"$3,500",2010
TD Bank USA,Canada/Toronto-Dominion Bank,"$41,500","$22,000","$19,500",2010
TE Connectivity,Switzerland/TE Connectivity,"$1,000",$0,"$1,000",2010
TECO Energy,Canada/Emera Inc,"$7,500",$0,"$7,500",2010
Teva Pharmaceuticals USA,Israel/Teva Pharmaceutical Industries,"$39,500","$20,500","$19,000",2010
Toyota Motor North America,Japan/Toyota Motor Corp,"$527,900","$254,900","$273,000",2010
Trane Technologies,Ireland/Trane Technologies,$500,$500,$0,2010
TransAmerica,Netherlands/Aegon NV,"$197,500","$106,000","$91,500",2010
Transcanada USA Services (TC Energy),Canada/TC Energy,"$65,500","$25,000","$40,500",2010
UBS Americas,Switzerland/UBS AG,"$536,000","$286,000","$250,000",2010
UCB Inc (UCB SA),Belgium/UCB SA,"$27,500","$20,500","$7,000",2010
Ultra Electronics USA,UK/Ultra Electronics,"$26,000","$2,000","$24,000",2010
Universal Music Group (Vivendi),France/Vivendi,"$78,500","$44,500","$34,000",2010
Valent USA (Sumitomo Chemical),Japan/Sumitomo Chemical,"$4,500","$3,000","$1,500",2010
Varian Medical Systems (Siemens AG),Germany/Siemens AG,"$36,300","$22,800","$13,500",2010
VNA Holding (AB Volvo),Sweden/AB Volvo,"$27,000","$17,000","$10,000",2010
VT Halter Marine,Singapore/ST Engineering,"$5,000",$0,"$5,000",2010
Washington Gas Light Co (AltaGas Ltd),Canada/AltaGas Ltd,"$10,400","$7,400","$3,000",2010
Westinghouse Electric,Canada/Brookfield Business Partners,"$23,000","$12,000","$11,000",2010
WSP USA,Canada/WSP Global,"$32,500","$23,000","$9,500",2010
ZF Automotive US (ZF Friedrichshafen AG),Germany/ZF Friedrichshafen AG,$0,$0,$0,2010
Zurich Insurance (Zurich Insurance Group),Switzerland/Zurich Insurance Group,"$158,500","$98,500","$60,000",2010
Accenture (Accenture),Ireland/Accenture plc,"$3,000",$0,"$3,000",2012
Air Liquide America,France/L'Air Liquide SA,"$6,800","$6,800",$0,2012
Airbus Group,Netherlands/Airbus Group,"$97,500","$41,000","$56,500",2012
Alkermes Inc,Ireland/Alkermes Plc,"$43,000","$24,000","$19,000",2012
Allianz of America (Allianz),Germany/Allianz AG Holding,"$14,500","$10,500","$4,000",2012
AMG Vanadium,Netherlands/AMG Advanced Metallurgical Group,"$1,025",$0,"$1,025",2012
Anheuser-Busch (Anheuser-Busch InBev),Belgium/Anheuser-Busch InBev,"$242,500","$105,000","$137,500",2012
AON Corp (AON plc),UK/AON PLC,"$16,000","$8,000","$8,000",2012
APL Maritime (CMA CGM),France/CMA CGM SA,"$4,000","$2,000","$2,000",2012
Aptiv PLC,Ireland/Aptiv PLC,$0,$0,$0,2012
Arcadis US (Arcadis NV),Netherlands/Arcadis NV,$0,$0,$0,2012
Arch Capital Group (US),UK/Arch Capital Group,"$7,500","$5,500","$2,000",2012
Arkema Inc,France/Arkema,"$22,000","$11,000","$11,000",2012
Assured Guaranty Municipal Corp (Assured Guaranty Corp),UK/Assured Guaranty Ltd,"$30,500","$19,500","$11,000",2012
Astellas US,Japan/Astellas Pharma,"$54,500","$25,500","$29,000",2012
AstraZeneca Pharmaceuticals (AstraZeneca PLC),UK/AstraZeneca PLC,"$126,500","$49,500","$77,000",2012
Atkins North America,UK/SNC-Lavalin,"$5,000",$0,"$5,000",2012
Austal USA,Australia/Austal Ltd,"$17,200",$0,"$17,200",2012
Avangrid Inc (Iberdrola SA),Spain/Iberdrola SA,"$39,500","$27,000","$12,500",2012
Bacardi USA,UK/Bacardi Ltd,"$16,500","$12,500","$4,000",2012
BAE Systems (BAE Systems),UK/BAE Systems,"$386,000","$182,000","$204,000",2012
Barclays Group US,UK/Barclays plc,"$29,000","$17,500","$11,500",2012
Barrick Goldstrike Mines,Canada/Barrick Gold Corp,"$10,500","$8,000","$2,500",2012
BASF Corp,Germany/BASF SE,"$213,500","$121,000","$92,500",2012
Bayer Corp (Bayer AG),Germany/Bayer AG,"$86,000","$54,500","$31,500",2012
BBVA USA (PNC Financial Services),Spain/Banco Bilbao Vizcaya Argentaria,"$182,000","$105,500","$76,500",2012
Beam Suntory (Suntory Holdings),Japan/Suntory Holdings,"$13,000","$10,500","$2,500",2012
BMO Financial Corp (Bank of Montreal),Canada/Bank of Montreal,$0,$0,$0,2012
BMO Financial Corp (Bank of Montreal),Canada/Bank of Montreal,"$88,000","$48,000","$40,000",2012
Boehringer Ingelheim Corp,Germany/CH Boehringer Sohn,"$78,000","$41,000","$37,000",2012
Bombardier Aerospace (Bombardier Inc),Canada/Bombardier Inc,"$20,500","$11,500","$9,000",2012
BP North America,UK/BP PLC,$0,$0,$0,2012
Bridgestone Americas,Japan/Bridgestone Corp,"$15,000","$7,000","$8,000",2012
Bumble Bee Foods (FCF Co),Taiwan/FCF Co,"$6,000","$6,000",$0,2012
CalPortland Co,Japan/Taiheiyo Cement Co,"$24,000","$2,000","$22,000",2012
Carmeuse Lime,Netherlands/Carmeuse SA,$0,$0,$0,2012
Case New Holland,Netherlands/CNH Industrial,"$45,000",$0,"$45,000",2012
CEMEX Inc,Mexico/CEMEX SAB de CV,"$17,500","$8,000","$9,500",2012
CGI Technologies & Solutions,Canada/CGI Group,"$26,500","$25,500","$1,000",2012
Chubb Group of Insurance Companies,Switzerland/Chubb Ltd,"$16,500","$14,000","$2,500",2012
CIBC Bancorp,Canada/Canadian Imperial Bank of Commerce,"$2,000","$2,000",$0,2012
Cirrus Aircraft Corp,China/Aviation Industry Corp of China,$0,$0,$0,2012
Continental Automotive Systems (Continental AG),Germany/Continental AG,$0,$0,$0,2012
Covestro LLC (Covestro AG),Germany/Covestro AG,"$2,500","$4,500","-$2,000",2012
Credit Suisse Securities,Switzerland/Credit Suisse Group,$0,$0,$0,2012
CRH Americas (CRH PLC),Ireland/CRH PLC,"$288,400","$116,000","$172,400",2012
Cronos USA,Canada/Cronos Group,"$15,000","$13,000","$2,000",2012
CSL Behring,Australia/CSL Ltd,"$14,900","$17,400","-$2,500",2012
Daimler Trucks North America (Daimler AG),Germany/Daimler AG,"$2,500",$0,"$2,500",2012
Delhaize America,Belgium/Ahold Delhaize,"$3,000","$2,000","$1,000",2012
Deutsche Bank Securities,Germany/Deutsche Bank AG,$0,$0,$0,2012
Diageo North America (Diageo PLC),UK/Diageo PLC,"$4,275","$2,775","$1,500",2012
Eaton Corp (Eaton Corp),Ireland/Eaton Plc,"$22,500","$12,000","$10,500",2012
EDF Renewables (EDF Group),France/EDF Group,"$22,500","$19,000","$3,500",2012
EDP Renewables NA,Portugal/EDP - Energias de Portugal,"$18,000","$18,000",$0,2012
Eisai Inc,Japan/Eisai Co Ltd,"$13,600","$7,800","$5,800",2012
Elbit Systems of America,Israel/Elbit Systems Ltd,"$36,500","$9,500","$27,000",2012
Elekta Inc (Elekta AB),Sweden/Elekta AB,"$48,000","$28,000","$20,000",2012
Embraer Aircraft Holdings,Brazil/Embraer-Empresa Brasileira de Aeronautic,"$24,500","$8,000","$16,500",2012
EMD Serono Inc,Germany/Merck KGaA,"$51,500","$27,000","$24,500",2012
Empire District Electric (Algonquin Power & Utilities),Canada/Algonquin Power & Utilities,$0,$0,$0,2012
Empower Retirement (Power Financial Corp),Canada/Power Financial Corp,"$3,500","$1,000","$2,500",2012
Enbridge Inc,Canada/Enbridge Inc,"$34,000","$18,000","$16,000",2012
Endo Pharmaceuticals,Ireland/Endo International,$0,$0,$0,2012
ENGIE North America,France/ENGIE,"$5,000","$5,000",$0,2012
Equitable Holdings (AXA),France/AXA,"$76,500","$51,500","$25,000",2012
Ericsson Inc,Sweden/Telefonaktiebolaget LM Ericsson,"$28,500","$15,000","$13,500",2012
Essent US Holdings,UK/Essent Group,"$3,500","$2,500","$1,000",2012
Experian,UK/Experian,"$120,000","$55,000","$65,000",2012
Farmers Group (Zurich Insurance Group),Switzerland/Zurich Financial Services AG,"$93,500","$55,000","$38,500",2012
Fincantieri Marinette Marine,Italy/Fincantieri-Cantieri Navali Italiani SpA,"$14,500","$6,000","$8,500",2012
Finsbury Glover Hering (WPP Group),UK/WPP Group,"$70,000","$44,500","$25,500",2012
Florida East Coast Industries (SoftBank Corp),Japan/SoftBank Corp,"$22,000","$14,000","$8,000",2012
Florida East Coast Railway (Grupo Mexico),Mexico/Grupo Mexico,$350,$350,$0,2012
Framatome (EDF Group),France/EDF Group,"$17,500","$11,000","$6,500",2012
Fresenius Medical Care North America,Germany/Fresenius Medical Care,"$194,500","$71,500","$123,000",2012
G4S Secure Solutions,UK/G4S plc,"$2,900","$2,900",$0,2012
Garmin International (Garmin Ltd),Switzerland/Garmin Ltd,"$32,500","$13,000","$19,500",2012
GE Appliances,China/Haier Group,"-$5,000","-$5,000",$0,2012
Genentech Inc (Roche Holdings),Switzerland/Roche Holdings,"$112,500","$36,000","$76,500",2012
General Cigar Co,Sweden/Scandinavian Tobacco Group,$0,$0,$0,2012
GenesisCare USA,Australia/GenesisCare,"$10,000","$7,000","$3,000",2012
Gerdau Ameristeel Corp,Brazil/Gerdau Inc,"$5,500","$4,000","$1,500",2012
Glanbia Foods (Glanbia PLC),Ireland/Glanbia PLC,$0,$0,$0,2012
GlaxoSmithKline,UK/GlaxoSmithKline,"$88,500","$37,000","$51,500",2012
Grand Trunk Western-Illinois Central RR,Canada/Canadian National Railway,"$6,000",$0,"$6,000",2012
Greyhound Lines,UK/FirstGroup PLC,"$5,500","$4,500","$1,000",2012
Hannover Life Reassurance Co,Germany/Hannover Re,"$7,500","$5,000","$2,500",2012
Hatch LTK (Hatch Ltd),Canada/Hatch Ltd,"$5,800","$5,800",$0,2012
Headwaters Inc,Australia/Boral Ltd,"$8,000","$1,000","$7,000",2012
Heineken USA,Netherlands/L'Arche Green NV,"$14,000","$10,000","$4,000",2012
Herbalife Nutrition,UK/Herbalife Ltd,"$43,000","$23,500","$19,500",2012
Holcim US (LafargeHolcim),Switzerland/LaFargeHolcim,"$18,000","$14,500","$3,500",2012
Horizon Therapeutics,Ireland/Horizon Pharma PLC,"$66,000","$39,500","$26,500",2012
HSBC North America (HSBC Holdings),UK/HSBC Holdings,$0,$0,$0,2012
HSBC North America (HSBC Holdings),UK/HSBC Holdings,"$14,500","$7,000","$7,500",2012
IBI Group Engineering Services,Canada/IBI Group,$150,$0,$150,2012
IDEMIA Identity & Security (IDEMIA),France/IDEMIA,"$16,000",$0,"$16,000",2012
IGT Global Solutions,Italy/B&D Holding Di Marco Drago e C Sapa,"$15,400","$15,400",$0,2012
Infineon Technologies,Germany/Infineon Technologies AG,"$13,500","$9,500","$4,000",2012
Intelsat Holdings (Serafina SA),Luxembourg/Serafina SA,"$5,000","$2,500","$2,500",2012
Intergraph Corp,Sweden/Hexagon AB,"$2,900",$0,"$2,900",2012
Ipsen Biopharmaceuticals,France/Ipsen SA,$0,$0,$0,2012
ITG Brands (Imperial Brands),UK/Imperial Brands,"$5,500","$1,000","$4,500",2012
Jackson National Life Insurance (Prudential PLC),UK/Prudential PLC,"$54,000","$23,500","$30,500",2012
Jackson National Life Insurance (Prudential PLC),UK/Prudential PLC,"$56,500","$35,500","$21,000",2012
JBS USA,Brazil/JBS SA,"$2,500","$1,000","$1,500",2012
John Hancock Life Insurance,Canada/Manulife Financial,"$51,500","$34,500","$17,000",2012
Johnson Controls (Johnson Controls International),Ireland/Johnson Controls International,"$108,000","$61,000","$47,000",2012
Komatsu Mining,Japan/Komatsu Ltd,"$20,599","$9,500","$11,099",2012
Lanxess Corp (Lanxess AG),Germany/Lanxess AG,$0,$0,$0,2012
Lehigh Hanson,Germany/HeidelbergCement AG,"$5,000","$2,500","$2,500",2012
Leonardo DRS,Italy/Leonardo SpA,"$102,500","$47,500","$55,000",2012
Lincare Holdings (Linde plc),UK/Linde plc,"$9,500","$1,000","$8,500",2012
Linde plc (Linde plc),UK/Linde Plc,"$5,500","$5,500",$0,2012
Livanova USA,UK/Livanova Plc,"$2,000","$1,000","$1,000",2012
Louis Dreyfus Co,Netherlands/Louis Dreyfus Group,"$1,000",$0,"$1,000",2012
LSEG US,UK/London Stock Exchange Group,"$2,000","$2,000",$0,2012
Lundbeck Inc,Denmark/H Lundbeck A/S,"$68,400","$40,900","$27,500",2012
LyondellBasell Industries,Netherlands/LyondellBasell Industries,"$39,000","$20,500","$18,500",2012
Maersk Inc (AP Moller-Maersk),Denmark/AP Moller-Maersk,"$32,000","$19,000","$13,000",2012
Mallinckrodt Pharmaceuticals,UK/Mallinckrodt Plc,"-$1,500","$2,500","-$4,000",2012
Maxar Technologies (Maxar Technologies),Canada/Maxar Technologies,"$49,000","$28,000","$21,000",2012
MBDA Inc,UK/MBDA,$0,$0,$0,2012
Medtronic Inc,Ireland/Medtronic Plc,"$69,500","$45,500","$24,000",2012
Messer North America,Germany/Messer Group,"$2,500",$0,"$2,500",2012
Mitsubishi Power,Japan/Mitsubishi Power,$0,$0,$0,2012
Molson Coors Beverage Co (Molson Coors Brewing),Canada/Molson Coors Brewing,"$43,000","$19,500","$23,500",2012
Munich American Reassurance,Germany/Munich Re Group,"$7,500","$5,000","$2,500",2012
Nammo Inc (Nammo AS),Norway/Nammo AS,"$4,000","$1,000","$3,000",2012
National Grid USA (National Grid plc),UK/National Grid plc,"$30,000","$26,500","$3,500",2012
Nestle Purina PetCare (Nestle SA),Switzerland/Nestle SA,$0,$0,$0,2012
Nomura Holding America,Japan/Nomura Holdings,"$26,000","$9,500","$16,500",2012
NOVA Chemicals,United Arab Emirates/International Petroleum Investment Co,$0,$0,$0,2012
